file,sparse_code_time,wav_time,diff
19_13,46374300,46374437.5,137.5
32_10,57599990,57600125.0,135.0
25_16,44354740,44355000.0,260.0
31_15,57599990,57600125.0,135.0
43_06,38401490,38401625.0,135.0
40_10,57599990,57600125.0,135.0
36_08,40572860,40573000.0,140.0
20_06,57600140,57600125.0,15.0
46_16,39533860,39534000.0,140.0
06_07,57600140,57600125.0,15.0
29_11,36951110,36951250.0,140.0
10_09,57599990,57600125.0,135.0
34_11,31491860,31492000.0,140.0
45_08,50055300,50055437.5,137.5
03_15,57599990,57600125.0,135.0
30_06,57599990,57600125.0,135.0
42_15,57599990,57600125.0,135.0
35_16,47357110,47357250.0,140.0
01_17,57599990,57600125.0,135.0
26_08,57599990,57600125.0,135.0
09_11,57599990,57600125.0,135.0
27_12,57599990,57600125.0,135.0
38_16,48058360,48058500.0,140.0
22_12,47468860,47469000.0,140.0
43_13,45180610,45180750.0,140.0
41_12,57599990,57600125.0,135.0
07_12,29588740,29588875.0,135.0
07_14,34460740,34460875.0,135.0
16_07,57599990,57600125.0,135.0
14_10,57599990,57600125.0,135.0
41_11,57599990,57600125.0,135.0
26_11,57599990,57600125.0,135.0
12_12,57599990,57600125.0,135.0
17_14,57599990,57600125.0,135.0
26_07,57599990,57600125.0,135.0
45_07,38100930,38101062.5,132.5
30_09,57599990,57600125.0,135.0
23_11,57599990,57600125.0,135.0
16_08,57599990,57600125.0,135.0
33_12,45692180,45692312.5,132.5
31_17,57599990,57600125.0,135.0
17_11,57599990,57600125.0,135.0
02_12,57599990,57600125.0,135.0
08_16,57599990,57600125.0,135.0
38_14,46643550,46643687.5,137.5
20_10,57599990,57600125.0,135.0
27_14,57599990,57600125.0,135.0
20_09,57599990,57600125.0,135.0
11_12,48271550,48271687.5,137.5
43_09,56998860,56999000.0,140.0
36_07,47045550,47045687.5,137.5
44_14,40144050,40144187.5,137.5
04_12,37875610,37875750.0,140.0
14_14,57599990,57600125.0,135.0
46_12,39271550,39271687.5,137.5
43_17,47250360,47250500.0,140.0
06_10,57599990,57600125.0,135.0
10_10,57599990,57600125.0,135.0
18_16,47516550,47516687.5,137.5
42_17,57599990,57600125.0,135.0
10_06,43144990,43145125.0,135.0
04_17,41833110,41833250.0,140.0
06_08,44650860,44651000.0,140.0
21_17,37170430,37170562.5,132.5
01_15,57599990,57600125.0,135.0
15_16,57599990,57600125.0,135.0
01_12,57599990,57600125.0,135.0
29_14,35808990,35809250.0,260.0
38_07,46490990,46491125.0,135.0
23_09,57599990,57600125.0,135.0
18_11,55278990,55279125.0,135.0
35_07,42428610,42428750.0,140.0
40_09,57599990,57600125.0,135.0
13_06,41510930,41511062.5,132.5
41_17,57599990,57600125.0,135.0
02_15,57599990,57600125.0,135.0
16_16,57599990,57600125.0,135.0
22_17,42826680,42826812.5,132.5
44_13,46806240,46806375.0,135.0
08_08,57599990,57600125.0,135.0
27_13,57599990,57600125.0,135.0
25_07,41390930,41391062.5,132.5
33_09,49173430,49173562.5,132.5
37_11,57599990,57600125.0,135.0
46_07,38550240,38550375.0,135.0
08_11,57599990,57600125.0,135.0
28_07,43913550,43913687.5,137.5
18_08,46906990,46907125.0,135.0
01_11,57599990,57600125.0,135.0
32_17,57599990,57600125.0,135.0
21_12,30454860,30455000.0,140.0
06_16,57599990,57600125.0,135.0
12_15,52062610,52062750.0,140.0
36_12,43533860,43534000.0,140.0
40_16,57599990,57600125.0,135.0
15_08,57599990,57600125.0,135.0
44_10,57599990,57600125.0,135.0
03_06,57599990,57600125.0,135.0
31_11,57599990,57600125.0,135.0
39_16,42807490,42807625.0,135.0
07_13,31616110,31616250.0,140.0
28_08,40686990,40687125.0,135.0
33_06,48023050,48023187.5,137.5
41_15,57599990,57600125.0,135.0
46_08,38245610,38245750.0,140.0
25_08,23416180,23416312.5,132.5
04_10,46409180,46409312.5,132.5
02_17,57599990,57600125.0,135.0
22_15,43060930,43061062.5,132.5
36_16,43724300,43724437.5,137.5
25_15,36535930,36536062.5,132.5
38_11,48470430,48470562.5,132.5
03_09,57599990,57600125.0,135.0
41_13,57599990,57600125.0,135.0
30_15,57599990,57600125.0,135.0
15_07,57599990,57600125.0,135.0
09_14,57599990,57600125.0,135.0
18_07,45730680,45730812.5,132.5
42_12,57599990,57600125.0,135.0
35_08,43294610,43294750.0,140.0
26_16,57599990,57600125.0,135.0
32_15,57599990,57600125.0,135.0
40_06,46178300,46178437.5,137.5
12_17,57599990,57600000.0,10.0
23_06,57599990,57600125.0,135.0
45_16,40858680,40858812.5,132.5
