file,sparse_code_time
19_06,42887180
26_12,57599990
08_15,57599990
28_17,57599990
20_13,57599990
12_11,57599990
29_09,43514930
37_13,57599990
33_11,48073800
32_07,57599990
38_12,47070990
38_13,46945930
13_07,43241050
32_16,57599990
33_10,46389800
25_14,40839050
26_10,57599990
44_12,41403800
08_09,57599990
01_10,57599990
45_15,41708610
01_13,57599990
09_17,39900000
29_15,41636300
27_15,57599990
38_06,47362050
30_16,57599990
23_08,57599860
40_08,57519901
35_06,42426300
37_12,57599990
11_13,50807360
34_16,29699990
18_09,43821990
18_13,46393360
45_10,57688040
45_14,45346240
28_10,47159110
15_09,57599990
12_14,57599990
23_12,57599990
03_07,57599990
11_15,42429360
25_06,45968180
20_16,57599990
46_06,40291490
43_11,47892800
14_17,57599990
33_08,46472930
28_06,43519680
40_15,57599990
19_17,39957610
03_08,57599990
10_16,57599990
38_10,57599990
15_06,57600140
31_12,57599990
33_15,37160800
03_12,57599990
29_17,38613050
18_06,51597890
46_14,38562610
28_09,50720610
09_13,57599990
46_09,40520800
41_14,57599990
33_07,48075050
15_14,57599990
25_09,42845240
08_06,57600140
39_17,35149800
19_15,40220110
13_08,43522490
40_07,57599990
32_14,57599990
35_09,40255180
23_07,57599990
22_10,50888680
38_09,41989680
11_11,44983740
06_06,40898490
03_16,57599990
17_15,57599990
37_17,57599990
10_08,57599990
32_11,57599990
32_13,57599990
14_12,57599990
40_14,49624300
46_10,39422550
36_09,41776930
19_12,46277610
43_07,54478240
20_07,57599990
25_12,37015430
07_11,57599990
21_15,45123800
02_10,57599990
27_17,57599990
13_16,28314860
44_17,33605860
16_06,57599990
42_14,57599990
30_07,57599990
45_09,50457740
30_14,57599990
26_09,57599990
43_10,50684490
04_15,46066300
10_13,57599990
22_14,41746300
11_14,44120430
03_17,57599990
16_09,57599990
07_15,39124550
35_10,43794610
20_11,57599990
11_17,41744740
26_14,57599990
30_17,57599990
12_13,44410930
26_06,57599990
42_13,57599990
02_14,57599990
30_08,57599990
08_10,57599990
17_17,57599990
45_06,45795990
37_15,57599990
23_16,57599990
37_16,57599990
10_07,46407610
01_14,57599990
34_10,57599990
06_09,50453860
20_08,57599990
45_11,57599990
33_16,34254680
07_17,44988930
44_15,33907430
36_06,40341610
43_08,45837800
18_12,44950240
02_13,57599990
43_15,42474860
14_13,57599990
31_10,57599990
28_16,39999680
23_14,57599990
19_13,46374300
32_10,57599990
25_16,44354740
31_15,57599990
43_06,38401490
40_10,57599990
36_08,40572860
20_06,57600140
46_16,39533860
06_07,57600140
29_11,36951110
10_09,57599990
34_11,31491860
45_08,50055300
03_15,57599990
30_06,57599990
42_15,57599990
35_16,47357110
01_17,57599990
26_08,57599990
09_11,57599990
27_12,57599990
38_16,48058360
22_12,47468860
43_13,45180610
41_12,57599990
07_12,29588740
07_14,34460740
16_07,57599990
14_10,57599990
41_11,57599990
